Published Date,Video URL,Channel,Title,Description,
5/17/2019 8:18,https://www.youtube.com/watch?v=Uy5Qd9g25Dg,PowerShell.org,Logging in a DevOps world by Friedrich Weinmann,"Covers the PSFramework logging system, that ... - Is easy to use out of the box - Provides powerful debugging information - Executes asynchronously in the background - Is 100% Runspace-safe to use, avoiding access conflicts to locked resources - Is plugin-based and can be extended - Is configuration driven, allowing replacement of logging setup at scale, avoiding the need to configure it in individual scripts (Update your entire logging estate without updating a single script) - Supports parallel logging using multiple logging providers - Can apply filter rules on a per-provider/plugin basis PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:18,https://www.youtube.com/watch?v=SdQYooRg7Cw,PowerShell.org,Basic To Boss: Customizing Your PowerShell Prompt by Thomas Rayner,"Every time I present and people see my PowerShell prompt, I get lots of questions about how I made it look that way, how it gets all the pieces of information it displays, and so on. This is a pretty light-hearted session and isn't going to change anybody's life, but it's still going to be pretty cool for people to see the kinds of things you can do in the console. The only slides for this session are an intro and a ""thanks for coming"". Otherwise, we're writing code. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:18,https://www.youtube.com/watch?v=IXYs-ZON-Zg,PowerShell.org,Securing PowerShell: Hands-On Lab by Ashley McGlone,"Every year at the PowerShell Summit Lee Holmes amazes us with his security talk. Attend this session after Lee's to see how you, too, can implement PowerShell security features in your environment. This will be a hands-on session where you are invited to follow along to do script block logging, system-wide transcription, constrained endpoints (JEA), and more. Not only that, we'll do it on Windows, MacOS, and Linux! Leave with techniques you can use today. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:18,https://www.youtube.com/watch?v=7gzA240k7OE,PowerShell.org,Firewall Evasion and Remote Access with OpenSSH by Anthony Nocentino,"OpenSSH is much more than just remote terminal access to servers, it provides a full suite of remote connectivity methods to your network and its services. In this session, we will look at how to use OpenSSH and its forwarding, tunneling and VPN capabilities so that we can reach securely reach network services that are behind firewalls and other security boundaries. Common use cases for these techniques are cloud jump boxes, secure access into segmented networks and being able to get remote access and move data around in poorly secured networks....these tips are things that will likely get you some extra attention from your security team * We will look at the following techniques * Accessing remote application services with SSH Tunneling * Accessing remote networks with SSH-based VPN * Building SSH connections for multi-hop remote access using ProxyHosts * Proxying HTTP/HTTPS connections with SocksProxy * Using aliases to store these advanced configurations for easy use * Controlling and preventing TCP tunneling PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:18,https://www.youtube.com/watch?v=xu9dRXgmTNc,PowerShell.org,"Doctor, Don't Defenestrate: What to Do with Legacy Scripts by Michael Lombardi","Legacy script is in every organization and belongs to every team. We've all got production critical services that rely on one or more solutions we put in place long ago. We wrote those solutions, unsurprisingly, to solve problems - and they did, or they wouldn't still be in use. That means legacy code is valuable - and valuable investments shouldn't just be tossed out the window without a second thought. This talk will cover how you can get your legacy code under control by evaluating, documenting, and adding tests to it - and how doing so will enable you to begin to update and replace your legacy scripts safely and more quickly than before. You'll learn about: - Inline Documentation - Reference Documentation - Characterization Tests - Unit Tests - Concept Documentation - Source Control Practices We'll use an example legacy script to dissect at each stage of the process, showing how you can go about getting your legacy code under control - and how you can use these same practices on your new code to save yourself the future work. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:25,https://www.youtube.com/watch?v=Aig8_3eTF8o,PowerShell.org,Going Core with VMware PowerCLI! by Luc Dekens,"Several features in VMware PowerCLI are build on Windows features. As a result they do not run on the .Net core that comes with PowerShell v6. In the 10 years that VMware PowerCLI was available,many organisations and users have written a wealth of scripts to manage their vSphere environment. How can one make these legacy scripts run in PS v6? Is this another Y2K scenario? It turns out that PowerShell already has a lot of the answers. This session will explore how many scripts can be made to run in PS v6 without even making any changes to the legacy code. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:25,https://www.youtube.com/watch?v=8GvrVN0_fD0,PowerShell.org,Working with PSGraph by Kevin Marquette,"PSGraph is a module that was implemented as a DSL (Domain Specific Language) to make it easy to build node/edge based graphs in PowerShell. This module really acts as a wrapper around the open source GraphViz engine. I will introduce the GraphViz engine, show how the PSGraph DSL inplements the features of GraphViz and then dynamically generate graphs. Examples in this talk include generating a organizational chart from a simple data set, dynamically generating an infrastructure diagram that even indicates up/down status of individual nodes, and mapping out system processes to remote network connections. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:25,https://www.youtube.com/watch?v=M0OYzJT6uLk,PowerShell.org,Machine Learning Algorithms with H2o and PowerShell by Tome Tanasovski,"Join Tome as he shows you how to teach your PowerShell to think - well sort of. During this session you will see how you can leverage the H2o framework in your applications and scripts to learn from data sets and build models to make predictions based on new uncategorized data. With virtually zero understanding of the mathematics, you can apply the machine learning algorithms available in the platform AND use the platform to optimize your selected algorithms. Come see how you can harness all of this with Windows and PowerShell to open up new doors in your scripts and applications. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:25,https://www.youtube.com/watch?v=WiQnm0B0hio,PowerShell.org,CypherDog2.0 - Bloodhound Dog Whispering with PowerShell by Walter Legowski,"BloodHound is a fantastic open source active directory graphing tool designed by @_Wald0, @CptJesus & @harmj0y. Initialy created for offensive purposes, it has also quickly gained popularity within blue teams and ""regular"" Active Directory Admins. In this session, I will present CypherDog2.0, a PowerShell module designed to interact with BloodHound via its REST API for advanced interaction with the database, and allowing actions that can not be performed in the Bloodhound UI. This PowerShell module runs Cypher queries under the hood (the neo4j database query language), and allows to get the maximum out of the Bloodhound data -including metrics as demonstrated by @_wald0 in his latest research- with a simplified dynamic syntax and cool PowerShell pipeline combos... In this presentation, I will show how to - Query database for Nodes, Edges and Paths and return objects - Manipulate BloodHound Data (at scale) - Request cheapest path (shortest is not always cheapest...) - Chain cypher queries over PowerShell pipeline - Query for possible relevant active directory metrics ...and more cool cypher tricks & BloodHound object manipulation from the comfort of a PowerShell prompt. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
5/17/2019 8:25,https://www.youtube.com/watch?v=fAfxDjg1Y_M,PowerShell.org,"Don't do that, do this instead: PowerShell worst practices and how to solve them by Chris Gardner","In past years the 3 furies have shared their insights on various things people do wrong in PowerShell. Let's take that one step further and demo all those things and what you should do instead. We'll explain why it's bad and the other way is better, because code without context doesn't help anyone. A lot of talks about ""Best Practice"" are aimed at showing you what you should be doing but not many take the approach of showing what you shouldn't be doing and how to change it. This can make it more difficult to grasp as it might not easily relate to how someone is currently working or has been working, showing the wrong way to do things is more approachable as everyone was a beginner at some point and many people made the same mistakes. Taking this one step further and providing reasoning why one approach is the wrong or worse way to handle something can also allow people to make an informed decision on using that approach anyway, if their circumstances require it. PowerShell Summit videos are recorded on a ""best effort"" basis. We use a room mic to capture as much room audio as possible, with an emphasis on capturing the speaker. Our recordings are made in a way that minimizes overhead for our speakers and interruptions to our live audience. These recordings are meant to preserve the presentations' information for posterity, and are not intended to be a substitute for attending the Summit in person. These recordings are not intended as professional video training products. We hope you find these videos useful - the equipment used to record these was purchased using generous donations from members of the PowerShell community.",DevOps 2019
